saniye,surec,cpu_yuzde,ram_yuzde
1.0,EKF (ekf_node),9.40,0.19
1.0,SLAM (async_slam_toolbox_node),204.80,0.81
1.0,pointcloud_to_laserscan,4.00,0.17
2.0,EKF (ekf_node),9.00,0.19
2.0,SLAM (async_slam_toolbox_node),397.40,0.81
2.0,pointcloud_to_laserscan,4.00,0.17
3.0,EKF (ekf_node),7.90,0.19
3.0,SLAM (async_slam_toolbox_node),418.10,0.82
3.0,pointcloud_to_laserscan,5.00,0.17
4.0,EKF (ekf_node),10.00,0.19
4.0,SLAM (async_slam_toolbox_node),435.30,0.82
4.0,pointcloud_to_laserscan,4.00,0.17
5.0,EKF (ekf_node),9.00,0.19
5.0,SLAM (async_slam_toolbox_node),450.30,0.83
5.0,pointcloud_to_laserscan,4.00,0.17
6.0,EKF (ekf_node),8.00,0.19
6.0,SLAM (async_slam_toolbox_node),416.10,0.83
6.0,pointcloud_to_laserscan,4.00,0.17
7.0,EKF (ekf_node),10.00,0.20
7.0,SLAM (async_slam_toolbox_node),430.60,0.84
7.0,pointcloud_to_laserscan,5.00,0.17
8.0,EKF (ekf_node),8.00,0.20
8.0,SLAM (async_slam_toolbox_node),462.40,0.84
8.0,pointcloud_to_laserscan,5.00,0.17
9.0,EKF (ekf_node),9.00,0.20
9.0,SLAM (async_slam_toolbox_node),473.10,0.84
9.0,pointcloud_to_laserscan,4.00,0.17
10.0,EKF (ekf_node),8.00,0.20
10.0,SLAM (async_slam_toolbox_node),478.80,0.84
10.0,pointcloud_to_laserscan,4.00,0.17
11.0,EKF (ekf_node),10.00,0.20
11.0,SLAM (async_slam_toolbox_node),484.30,0.85
11.0,pointcloud_to_laserscan,4.00,0.17
12.0,EKF (ekf_node),9.00,0.20
12.0,SLAM (async_slam_toolbox_node),477.80,0.85
12.0,pointcloud_to_laserscan,4.00,0.17
13.0,EKF (ekf_node),9.00,0.20
13.0,SLAM (async_slam_toolbox_node),472.40,0.86
13.0,pointcloud_to_laserscan,5.00,0.17
14.0,EKF (ekf_node),9.00,0.20
14.0,SLAM (async_slam_toolbox_node),512.10,0.86
14.0,pointcloud_to_laserscan,4.00,0.17
15.0,EKF (ekf_node),9.00,0.20
15.0,SLAM (async_slam_toolbox_node),491.00,0.87
15.0,pointcloud_to_laserscan,5.00,0.17
16.0,EKF (ekf_node),9.00,0.20
16.0,SLAM (async_slam_toolbox_node),461.50,0.87
16.0,pointcloud_to_laserscan,4.00,0.17
17.1,EKF (ekf_node),9.90,0.20
17.1,SLAM (async_slam_toolbox_node),457.90,0.87
17.1,pointcloud_to_laserscan,5.00,0.17
18.1,EKF (ekf_node),9.00,0.20
18.1,SLAM (async_slam_toolbox_node),518.00,0.87
18.1,pointcloud_to_laserscan,5.00,0.17
19.1,EKF (ekf_node),9.00,0.20
19.1,SLAM (async_slam_toolbox_node),484.10,0.87
19.1,pointcloud_to_laserscan,3.00,0.17
20.1,EKF (ekf_node),9.00,0.20
20.1,SLAM (async_slam_toolbox_node),536.90,0.88
20.1,pointcloud_to_laserscan,5.00,0.17
21.1,EKF (ekf_node),10.00,0.20
21.1,SLAM (async_slam_toolbox_node),451.10,0.88
21.1,pointcloud_to_laserscan,5.00,0.17
22.1,EKF (ekf_node),8.00,0.20
22.1,SLAM (async_slam_toolbox_node),532.90,0.88
22.1,pointcloud_to_laserscan,3.00,0.17
23.1,EKF (ekf_node),10.00,0.20
23.1,SLAM (async_slam_toolbox_node),506.50,0.90
23.1,pointcloud_to_laserscan,5.00,0.17
24.1,EKF (ekf_node),10.00,0.20
24.1,SLAM (async_slam_toolbox_node),542.90,0.90
24.1,pointcloud_to_laserscan,4.00,0.17
25.1,EKF (ekf_node),8.90,0.20
25.1,SLAM (async_slam_toolbox_node),489.60,0.91
25.1,pointcloud_to_laserscan,5.00,0.17
26.1,EKF (ekf_node),11.00,0.20
26.1,SLAM (async_slam_toolbox_node),534.00,0.91
26.1,pointcloud_to_laserscan,5.00,0.17
27.1,EKF (ekf_node),7.90,0.20
27.1,SLAM (async_slam_toolbox_node),490.60,0.93
27.1,pointcloud_to_laserscan,4.00,0.17
28.1,EKF (ekf_node),10.00,0.20
28.1,SLAM (async_slam_toolbox_node),539.80,0.93
28.1,pointcloud_to_laserscan,5.00,0.17
29.1,EKF (ekf_node),9.00,0.20
29.1,SLAM (async_slam_toolbox_node),488.60,0.95
29.1,pointcloud_to_laserscan,5.00,0.17
30.1,EKF (ekf_node),10.00,0.20
30.1,SLAM (async_slam_toolbox_node),516.40,0.95
30.1,pointcloud_to_laserscan,4.00,0.17
